[746.500874814525, 529.0053318846581] [277.0632281902271, 236.4901852045688] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[746.500874814525, 529.0053318846581] [564.2091643979257, 335.8523239537853] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[746.500874814525, 529.0053318846581] [363.55937108571817, 523.5437550867098] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[746.500874814525, 529.0053318846581] [77.16823632612892, 431.1137357549361] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[746.500874814525, 529.0053318846581] [748.9132705914279, 209.8235796975721] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[746.500874814525, 529.0053318846581] [631.9101733489499, 229.7916120325405] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[746.500874814525, 529.0053318846581] [313.74967454978605, 215.78273886800122] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[746.500874814525, 529.0053318846581] [316.8059895750102, 106.76736664299011] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[746.500874814525, 529.0053318846581] [536.1940104249898, 77.23263335700987] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[746.500874814525, 529.0053318846581] [560.4268815098361, 51.60206940188617] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[612.1188149059358, 432.6628009387675] [160, 700] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[612.1188149059358, 432.6628009387675] [950, 180] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[612.1188149059358, 432.6628009387675] [277.0632281902271, 236.4901852045688] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[612.1188149059358, 432.6628009387675] [564.2091643979257, 335.8523239537853] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[612.1188149059358, 432.6628009387675] [363.55937108571817, 523.5437550867098] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[612.1188149059358, 432.6628009387675] [77.16823632612892, 431.1137357549361] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[612.1188149059358, 432.6628009387675] [748.9132705914279, 209.8235796975721] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[612.1188149059358, 432.6628009387675] [631.9101733489499, 229.7916120325405] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[612.1188149059358, 432.6628009387675] [313.74967454978605, 215.78273886800122] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[612.1188149059358, 432.6628009387675] [316.8059895750102, 106.76736664299011] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[612.1188149059358, 432.6628009387675] [536.1940104249898, 77.23263335700987] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[612.1188149059358, 432.6628009387675] [560.4268815098361, 51.60206940188617] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[886.2084919714689, 328.51041668643734] [160, 700] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[886.2084919714689, 328.51041668643734] [950, 180] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[886.2084919714689, 328.51041668643734] [277.0632281902271, 236.4901852045688] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[886.2084919714689, 328.51041668643734] [564.2091643979257, 335.8523239537853] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[886.2084919714689, 328.51041668643734] [363.55937108571817, 523.5437550867098] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[886.2084919714689, 328.51041668643734] [77.16823632612892, 431.1137357549361] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[886.2084919714689, 328.51041668643734] [748.9132705914279, 209.8235796975721] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[886.2084919714689, 328.51041668643734] [631.9101733489499, 229.7916120325405] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[886.2084919714689, 328.51041668643734] [313.74967454978605, 215.78273886800122] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[886.2084919714689, 328.51041668643734] [316.8059895750102, 106.76736664299011] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[886.2084919714689, 328.51041668643734] [536.1940104249898, 77.23263335700987] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[886.2084919714689, 328.51041668643734] [560.4268815098361, 51.60206940188617] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[1020, 534.8214504901371] [160, 700] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[1020, 534.8214504901371] [950, 180] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[1020, 534.8214504901371] [277.0632281902271, 236.4901852045688] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[1020, 534.8214504901371] [564.2091643979257, 335.8523239537853] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[1020, 534.8214504901371] [363.55937108571817, 523.5437550867098] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[1020, 534.8214504901371] [77.16823632612892, 431.1137357549361] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[1020, 534.8214504901371] [748.9132705914279, 209.8235796975721] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[1020, 534.8214504901371] [631.9101733489499, 229.7916120325405] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[1020, 534.8214504901371] [313.74967454978605, 215.78273886800122] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[1020, 534.8214504901371] [316.8059895750102, 106.76736664299011] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[1020, 534.8214504901371] [536.1940104249898, 77.23263335700987] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[1020, 534.8214504901371] [560.4268815098361, 51.60206940188617] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
